D115 ID	Leika Nummer	Leika Gruppe	Leika Kennung	Leika Verrichtung	Leika Synonyme
326103	99108034001000	Straßenverkehr	Anerkennung von Werkstätten zur Durchführung von Sicherheitsprüfungen	Erteilung	Sicherheitsprüfung | Werkstättenanerkennung
326243	99089022176000	Sicherheit und Ordnung	Angriffe durch Tiere	Verfolgung	Hundebiss | Biss | Anspringen | Angriff durch Hund | Hundeangriff
120686	99115005104000	Wohnsitz	Wohnsitz	Anmeldung	Zuzug | Anmeldung | anmelden | meldung | ummeldung | ummelden | melden | wohnsitz | Wohnung | Umzug | Wohnungswechsel | Wohnungsummeldung | Wohnungsanmeldung | Wohnungsgeberbescheinigung | Vermieterbescheinigung | Wohnungsgeberbestätigung | Einzugsbestätigung | Adressänderung
293946	99111025104000	Unfallversicherung	Unfallversicherung	Anmeldung	Unfallversicherung | Berufsgenossenschaft | Betriebseröffnung | Unternehmen gründen | Betrieb eröffnen | Meldepflicht für Unternehmen | Freiberufler | Gewerbe | weitere Meldungen im Zusammenhang mit der Gewerbeanmeldung
148182	99050055000000	Gewerbe	Zuverlässigkeit des Gewerbetreibenden bei überwachungsbedürftigen Gewerben		überwachungsbedürftiges Gewerbe | Zuverlässigkeit
120658	11036008014900	Fahrzeugzulassung	Kraftfahrzeug	Meldung	Fahrzeugscheinänderungen | Zulassungsbescheinigungen | Anschriftenänderungen KFZ | Fahrzeugschein | Zulassungsbescheinigung Teil I | ZBI | Anschriftenänderung | Wohnanschrift | Umzug | Anschriftenwechsel
326235	11010901900000	Aufenthaltstitel	Aufenthaltskarte	Antragsbescheinigung	Aufenthaltskarte | Antragsbescheinigung | Freizügigkeitsrecht | Freizügigkeit | EU | Familienangehörige
121721	99108001001000	Straßenverkehr	Bewohnerparkausweis	Erteilung	Bewohnerparkausweise | Anwohnerparken | Anwohnervignetten | Bewohnervignetten | Parkraumbewirtschaftung | Anwohnerparkausweise | Vignettenantrag | Vignettenanträge | Bewohnerparkausweisantrag | Bewohnerparkausweisanträge | Vignetten | Parken | Parkausweis | Gästevignette | Gästeparkausweis | anwohnerparkausweiß
126904	99050057000000	Gewerbe	Anzeige einer Versteigerung		Versteigerung | Grundstücksversteigerung | Versteigerererlaubnis | Versteigerergewerbe | Versteigerungsanzeige | Versteigerer
292634	99050036005000	Gewerbe	Versteigerergewerbe	Erlaubnis	Versteigerungsgewerbe | öffentliche Bestellung und Vereidigung von Versteigerern
326666	99001031000000	Abfall	Anzeige gemeinnütziger und gewerblicher Abfallsammlungen		Abfallsammlung | gewerbliche | gemeinnützige Sammlung von Abfällen | Abfall |
325571	99018027244000	Berufsberechtigung	Approbation	Verzicht	Approbation - Verzicht | auf Approbation verzichten | Verzichtserklärung | Approbationsverzicht | Rückgabe der Approbation | Verzichtserklärung | Approbation - Rückgabe
325435	11018019001901	Berufsberechtigung	Approbation als Apotheker	Erteilung	Approbation | Apotheker | Anerkennung | Berufsanerkennung | Pharmazeut
325425	11018019001900	Berufsberechtigung	Approbation als Apotheker	Erteilung	Apotheker | Pharmazeut
325401	11018001001901	Berufsberechtigung	Approbation als Arzt	Erteilung	Arzt | Berufserlaubnis | Anerkennung als Arzt | Berufsanerkennung | Erlaubnis als Arzt | Approbation
325389	11018001001900	Berufsberechtigung	Approbation als Arzt	Erteilung	Approbation | Berufserlaubnis | Arzt
325433	11018023001900	Berufsberechtigung	Approbation als Kinder- und Jugendlichenpsychotherapeut	Erteilung	Approbation; Kinder- und Jugendlichenpsychotherapeut
325429	11018025001900	Berufsberechtigung	Approbation als Psychologischer Psychotherapeut	Erteilung	Psychologischer Psychotherapeut | Psychotherapeut
325445	11018011001901	Berufsberechtigung	Approbation als Tierarzt	Erteilung	Tierarzt | Veterinär | Tiermedizin; Berufsanerkennung | Anerkennung | Erlaubnis als Tierarzt
325393	11018011001900	Berufsberechtigung	Approbation als Tierarzt	Erteilung	Tierarzt | Veterinär | Approbation
325443	11018021001901	Berufsberechtigung	Approbation als Zahnarzt	Erteilung	Zahnarzt | Approbation | Zahnmedizin | Zahnheilkundem Erlaubnis als Zahnarzt | Berufserlaubnis | Anerkennung als Zahnarzt
325427	11018021001900	Berufsberechtigung	Approbation als Zahnarzt	Erteilung	Zahnarzt | Dentist | Approbation
325661	99102004080000	Steuern	Arbeitnehmersparzulage	Gewährung	Vermögenswirksame Leistungen | Bausparvertrag | VL - Leistungen | Arbeitnehmersparzulage - Gewährung
141585	99140001000000	Architektur	Architektenliste		Stadtplaner | Architekt | Architektenliste | Stadtplanerliste | Innenarchitekt | Gartenarchitekt Landschaftsarchitekt | Liste | Verzeichnis
326940	99093005006000	Pflanzenschutz	Ein- und Ausfuhr geschützter Pflanzen- und Tierarten	Genehmigung	CITES | Pflanzenschutz | Pflanzenarten | Umweltschutz | Washingtoner Artenschutzübereinkommen | Artenschutzrechtliche Ausnahmegenehmigung und Befreiung | Artenschutz | Tierschutz | Fauna | BfN | Flora | Schutzbestimmungen | Handelsartenschutz | EG-Artenschutzverordnung | Ausfuhr und Wiederausfuhr von Arten der Anhänge A und B | Reisebescheinigung | Vorlagebescheinigung | Bescheinigung des rechtsmäßigen Erwerbs | Tiere und Pflanzen der besonders geschützten Arten | Antiquitäten | Landschildkröten | Papageien | Kaviar
326592	99093001001000	Pflanzenschutz	Artenschutzrechtliche Ausnahmegenehmigung und Befreiung	Erteilung	CITES | Pflanzenschutz | Pflanzenarten | Umweltschutz | Artenschutzrechtliche Ausnahmegenehmigung und Befreiung | EG-Vermarktungsgenehmigung | Washingtoner Artenschutzübereinkommen | Artenschutz | Tierschutz | Fauna | BfN | Flora | Schutzbestimmungen | Tiere und Pflanzen der besonders geschützten Arten | Elfenbein | Antiquitäten | Ozelot | Landschildkröten | Präparate | Pelze
324859	99010001020013	Aufenthaltstitel	Aufenthaltserlaubnis	Verlängerung	Aufenthaltserlaubnis | Verlängerung | humanitär | Asyl | asylberechtigt | Flüchtling | Flüchtlinge | Abschiebungsverbot
326237	99010001001004	Aufenthaltstitel	Aufenthaltserlaubnis	Erteilung	besondere Aufenthaltsrechte | Recht auf Wiederkehr | Aufenthaltserlaubnis | Visum
305265	11010001001905	Aufenthaltstitel	Aufenthaltserlaubnis	Erteilung	Arbeit | Job | Aufenthaltserlaubnis | Praktikum | Praktika | Working Holiday | Youth Mobility
327471	11010001001910	Aufenthaltstitel	Aufenthaltserlaubnis	Erteilung	Aufenthaltserlaubnis | Familie | Familiennachzug | Ehegatte | Lebenspartner | Studierende | Studenten | Wissenschaftler
305289	99010001001017	Aufenthaltstitel	Aufenthaltserlaubnis	Erteilung	Aufenthaltserlaubnis | Deutschehe | Ehegattennachzug | Familiennachzug | Familienzusammenführung | Kindernachzug | Visum | Lebenspartner | Kinder | Ehemann | Ehefrau | Ehegatte
324269	99010001001020	Aufenthaltstitel	Aufenthaltserlaubnis	Erteilung	Aufenthaltserlaubnis | Visum | Kind | Geburt | Bundesgebiet | § 33
325475	99010001001007	Aufenthaltstitel	Aufenthaltserlaubnis	Erteilung	Aufenthaltserlaubnis | Visum | Ausländer | besondere Aufenthaltsrechte | Daueraufenthalt | langfristig Aufenthaltsberechtigt | § 38a | EU
324995	11010001020901	Aufenthaltstitel	Aufenthaltserlaubnis	Verlängerung	Aufenthaltserlaubnis | Visum | türkisch | Türke | Türkei Verlängerung | verlängern | ARB 1/80
324861	99010001020001	Aufenthaltstitel	Aufenthaltserlaubnis	Verlängerung	Aufenthaltserlaubnis | Verlängerung | Härtefälle | Härtefallkommission | Härtefall
324289	11010001001906	Aufenthaltstitel	Aufenthaltserlaubnis	Erteilung	Sprachkurs | Aufenthaltserlaubnis | Visum | Deutsch | lernen | Sprachschule
305244	99010001001008	Aufenthaltstitel	Aufenthaltserlaubnis	Erteilung	Aufenthaltserlaubnisse | Aufenthaltsgenehmigungen | Studienkolleg | Studium | Visum | Sprachkurse | Ausbildung | Hochschulen | Universität | Uni | Visa
324661	11010001001907	Aufenthaltstitel	Aufenthaltserlaubnis	Erteilung	Aufenthaltserlaubnis zur Arbeitsplatzsuche für qualifizierte Fachkräfte
305245	11010001001900	Aufenthaltstitel	Aufenthaltserlaubnis	Erteilung	Arbeit | Arbeitsaufnahme | Arbeitserlaubnis | Arbeitsgenehmigung | Aufenthaltserlaubnis | Aufenthaltsgenehmigung | Daueraufenthalt | Erwerbstätigkeit | Visum
305304	99010001001009	Aufenthaltstitel	Aufenthaltserlaubnis	Erteilung	Arbeit | Arbeitsaufnahme | Arbeitserlaubnisse | Arbeitsgenehmigungen | Aufenthaltserlaubnisse | Aufenthaltsgenehmigungen | Erwerbstätigkeit | Visum | Beschäftigungen | Visa | Bundesfreiwilligendienst | BFD | Job
305303	11010001001901	Aufenthaltstitel	Aufenthaltserlaubnis	Erteilung	Arbeit | Arbeitsaufnahme | Arbeitserlaubnisse | Arbeitsgenehmigungen | Aufenthaltserlaubnisse | Aufenthaltsgenehmigungen | Erwerbstätigkeiten | Praktikum | Praktika | Visum | Visas | Ausbildungen | Hospitationen | Volontariat | Beschäftigungen | trainee
305267	11010001001903	Aufenthaltstitel	Aufenthaltserlaubnis	Erteilung	Arbeitsaufnahme | Arbeitserlaubnis | Au-Pair | Aufenthaltserlaubnis | Ausbildung | Studienkolleg | Studium | Visum | Gastfamilie | Deutsch lernen
305260	11010001001904	Aufenthaltstitel	Aufenthaltserlaubnis	Erteilung	Arbeit | Arbeitsaufnahme | Arbeitserlaubnis | Arbeitsgenehmigung | Aufenthaltserlaubnis | Aufenthaltsgenehmigung | Beschäftigung | Erwerbstätigkeit | Visum | wissenschaftlicher Mitarbeiter | wissenschaftliches Personal | Gastwissenschaftler
326511	99010001001015	Aufenthaltstitel	Aufenthaltserlaubnis	Erteilung	Aufenthaltserlaubnis | Visum | medizinische | Behandlung | humanitär
305249	99010001001022	Aufenthaltstitel	Aufenthaltserlaubnis	Erteilung	Arbeit | Arbeitserlaubnisse | Arbeitsgenehmigungen | Aufenthaltserlaubnisse | Aufenthaltsgenehmigungen | Erwerbstätigkeit | Visum | freelancer | Freelance
324288	11010001020900	Aufenthaltstitel	Aufenthaltserlaubnis	Verlängerung	Aufenthaltserlaubnis | Verlängerung | freelance | Visum | § 21
305156	11010001001902	Aufenthaltstitel	Aufenthaltserlaubnis	Erteilung	Au-Pair | Ausbildung | Studienkolleg | Propädeutikum | Studium | Visum | Bewerbung | Sprachkurs | Vorbereitung | Studienvorbereitung | Aufenthaltserlaubnis
326239	11010001001909	Aufenthaltstitel	Aufenthaltserlaubnis	Erteilung	Aufenthaltserlaubnis | Visum | Gastschüler | ausländische Schüler | Schüleraustausch | Austauschschüler
324287	11010904000000	Aufenthaltstitel	Aufenthaltserlaubnis-Schweiz		Aufenthaltserlaubnis-Schweiz | Schweiz | Freizügigkeit | Visum | Abkommen vom 21. Juni 1999 | Eidgenossenschaft
327409	11010904900000	Aufenthaltstitel	Aufenthaltserlaubnis-Schweiz	zu einem neuen Pass übertragen	Übertragung | Übertrag
324282	11010901000000	Aufenthaltstitel	Aufenthaltskarte		EU | EWR | Visum | EG | Europäische Union | Drittstaat | Drittland | Aufenthaltskarte
327405	11010901901000	Aufenthaltstitel	Aufenthaltskarte	zu einem neuen Pass übertragen	Aufenthaltskarte | Daueraufenthaltskarte | Übertrag | Übertragung
324919	11010906000000	Aufenthaltstitel	Aufenthaltsrechtliche Auskünfte		Auskunft | Auskünfte | Aufenthaltsrechtlich | Ausländerrechtlich | Visum | Ausländer | Information | Beratung
325675	99010003001003	Aufenthaltstitel	Niederlassungserlaubnis	Erteilung	Aufenthaltstitel | Aufenthaltserlaubnis | Niederlassungserlaubnis | Deutsche | Staatsangehörigkeit | Verlust
325167	99022001017005	Bundesausbildungsförderung	Ausbildungsförderung	Bewilligung	Italien-BAföG | San Marino-BAföG | Vatikanstadt-BAföG | BAföG | Ausbildung | Auslandsstipendium | Studium im Ausland | Auslandsstudium | Auslandsförderung | Auslandspraktikum | Schulbesuch im Ausland | Unterstützung im Ausland
325169	99131004000000	Weiterbildung	berufliche Aufstiegsfortbildung		Ausbildungsförderung beantragen | Aufstiegsfortbildungsförderung | Meister-BAföG | bafög
324985	99022001000000	Bundesausbildungsförderung	Ausbildungsförderung		BAföG | Bundesausbildungsförderung | Schüler-BAföG | Ausbildungsförderung |
324168	11036009069901	Fahrzeugzulassung	Kraftfahrzeugkennzeichen	Zuteilung	Ausfuhrkennzeichen | Zollkennzeichen | Exportkennzeichen | Neufahrzeug aus dem Ausland ohne Fahrzeugbrief | rot | rote nummer | international | export | überführung | überführen | ausfuhr | grenze | ausland
324178	11036009069902	Fahrzeugzulassung	Kraftfahrzeugkennzeichen	Zuteilung	Ausfuhrkennzeichen | Zollkennzeichen | Exportkennzeichen | Neufahrzeug aus dem Ausland ohne Fahrzeugbrief | rot | rote nummer | international | export | überführung | überführen | ausfuhr | grenze | ausland
324185	11036009069903	Fahrzeugzulassung	Kraftfahrzeugkennzeichen	Zuteilung	Ausfuhrkennzeichen | Zollkennzeichen | Exportkennzeichen | Neufahrzeug aus dem Ausland ohne Fahrzeugbrief | rot | rote nummer | international | export | überführung | überführen | ausfuhr | grenze | ausland
121476	11036009069900	Fahrzeugzulassung	Kraftfahrzeugkennzeichen	Zuteilung	Ausfuhrkennzeichen | Zollkennzeichen | Exportkennzeichen | Neufahrzeug aus dem Ausland ohne Fahrzeugbrief | rot | rote nummer | international | export | überführung | überführen | ausfuhr | grenze | ausland
327417	11006030023000	Arbeitsschutz	Auskunft aus dem Tarifregister	Auskunft	Tarifvertrag Tarifvertragsparteien Einsichtnahme Branchen Wirtschaftszweige Urlaubsanspruch Entgelttarifvertrag Manteltarifvertrag Rahmentarifvertrag Ausbildungstarifvertrag Ausbildungsvergütung Berlin Brandenburg
327647	99088002016000	Schulangelegenheiten	ausländische Berufsqualifikationen anerkennen	Anerkennung	BQFG | Anerkennung in Deutschland | ZAB | Ausländische Qualifikation | Diplomanerkennung | Zentralstelle für ausländisches Bildungswesen | BQ-Portal | Reglementierter Beruf | Anabin | Nicht reglementierter Beruf | Berufsanerkennungsrichtlinie | Anerkennungsgesetz | Berufszugang mit ausländischen Qualifikationen | Niederlassungsfreiheit | Anerkennung der Hochschulzugangsberechtigung | BQRL | Einheitlicher Ansprechpartner | Berufsanerkennung
296798	11108004001900	Straßenverkehr	Ausnahmegenehmigungen für den Verkehr	Erteilung	Ausnahmegenehmigungen | Abweichungen von Bauvorschriften | Kraftfahrzeugen | kfz
325561	99012038000000	Baurecht	Vorkaufsrecht der Gemeinde		Vorkaufsrecht der Gemeinde | Negativzeugnis | gesetzlichen Vorkaufsrechts | Ausübung des Vorkaufsrechts | Kaufvertrag | Grundstücksverkauf | Vorlage beim Grundbuchamt
325601	99018033012000	Berufsberechtigung	Certificate of good standing	Ausstellung	Berufsbescheinigung | Berufsberechtigung | Unbedenklichkeitsbescheinigung | Certificate of good standing
325145	99018008005000	Berufsberechtigung	Ausübung der Heilkunde	Erlaubnis	Heilkunde | Heilpraktiker | Heilberufe
326455	11001004004909	Abfall	Wilder Müll	Entsorgung	Autowrack | Altfahrzeuge | KFZ-Abfall | KFZ-Müll | Schrott | Autoschrott
297016	11036008089900	Fahrzeugzulassung	Kraftfahrzeug	Verwahrung	Bankbrief | Bankzulassungsbescheinigung | Teil II | Kfz | Zulassungsbescheinigung
327074	11036005005900	Fahrzeugzulassung	Betrieb von Fahrzeugen	Erlaubnis	Einzelgenehmigung | Bauartgenehmigung | Fahrzeugteile | Vorführung
326710	99012008015000	Baurecht	Baugenehmigung	Statusabfrage	Sachstandsauskunft in Baugenehmigungsverfahren | Nachträge in Baugenehmigungsverfahren | Verlängerungen von Baugenehmigungen | Widerspruchsverfahren | Baulastenverfahren | Mängelanzeigen | Brandschutzprüfungen | Bürgeranfragen | Auskunftsersuchen | Baugenehmigungsverfahren | vereinfachte Baugenehmigungsverfahren | Genehmigungsfreistellung | Nachträge zu Baugenehmigungen
326459	11001004004907	Abfall	Wilder Müll	Entsorgung	Bauschutt | Ziegel | Betonabfall | Keramik | Badewannen
325835	11012900023000	Baurecht	Bauvorhaben - städteplanerische und planungsrechtliche Aspekte	Auskunft	Bauvorhaben | städteplanerische und planungsrechtliche Aspekte Auskunft | Bebauungsplan | Flächennutzungsplan | Zentrenkonzept | Erhaltungs- und Sanierungsgebiet | städtebauliche Planungen | Stadtplanung
325833	11012900018000	Baurecht	Bauvorhaben - städteplanerische und planungsrechtliche Aspekte	Beratung	Bauvorhaben | städteplanerische und planungsrechtliche Aspekte Beratung | planungsrechtliche Grundlagen | städtebauliche Planungen | Ermessenskriterien | Innenbereich | Außenbereich | Bebauungsplan | Städtebaurecht |
325837	11012900900000	Baurecht	Bauvorhaben - städteplanerische und planungsrechtliche Aspekte	Stellungnahme	Bauvorhaben | städteplanerische und planungsrechtliche Aspekte | städtebauliche Stellungnahme | Flächennutzungsplan | Bebauungsplan | Städtebauliche Auskunft | Bebaubarkeit eines Grundstücks | unbeplanter Innenbereich | Außenbereich | Standortbeurteilung | Nutzbarkeit eines Grundstücks | Bauvornafrage | Bauvorbescheid |
324343	11123001023000	Vermessung und Kataster	Geodaten und Geoinformationen	Auskunft	Planungsrecht | Straßenbegrenzungslinien | Straßenfluchtlinien | Baugrenzen | Maß der baulichen Nutzung | Baumassenzahl | Grundflächenzahl | Geschossflächenzahl | GRZ | GFZ | BMZ | offene | geschlossene Bauweise | Geschosszahl | Bebauungsplan | vorhabenbezogener | festgesetzter | förmlich festgestellte | Baufluchtlinien | Baustufe
324344	11123001103900	Vermessung und Kataster	Geodaten und Geoinformationen	Verkauf und Verwaltung	Planungsrecht | Straßenbegrenzungslinien | Straßenfluchtlinien | Baugrenzen | Art der baulichen Nutzung | Maß der baulichen Nutzung | Baumassenzahl | Grundflächenzahl | Geschossflächenzahl | GRZ | GFZ | BMZ | offene Bauweise | geschlossene Bauweise | Geschosszahl | Bebauungsplan | Bebauungspläne | vorhabenbezogener Bebauungsplan | festgesetzter Bebauungsplan | festgesetzte Bebauungspläne | Fluchtlinien | förmlich festgestellte Straßenfluchtlinien | förmlich festgestellte Baufluchtlinien | Baustufe
327044	99008002010000	Personalausweis	Ausweispflicht	Befreiung	ePA | Personalausweis | nPA | PA | elektronischer | Perser | neu | Perso | Ausweispflicht | Ausweis | Befreiung
320310	11014900035000	Beglaubigungen und Beurkundungen	Fingerabdrücke	Beglaubigung	Fingerabdrücke | Fingerabdruck | Beglaubigung
121701	99014003000000	Beglaubigungen und Beurkundungen	Abschriften		Beglaubigung | Urkundenbeglaubigung | Zeugnisbeglaubigung | Richtigkeitsbescheinigung | Beglaubigung von Abschriften
327408	11046900022901	Gerichtliche Leistungen	Beglaubigung von justiziellen, gerichtlichen und notariellen Urkunden (Apostillen oder Legalisationen) 	Bescheinigung	Apostille | Legalisation | Beglaubigung | Überbeglaubigung | Urkunde | Echtheitsbescheinigung | Auslandsbescheinigung | Notar | Übersetzer | Dolmetscher | Bescheinigung | Vorbeglaubigung | Endbeglaubigung | Vergleich
158142	99014007035000	Beglaubigungen und Beurkundungen	Unterschriften	Beglaubigung	Beglaubigung | Legalisation | Endbeglaubigung | Echtheitsnachweis | Bundesurkunden | Kopien und Unterschriften beglaubigen | Apostillen | Urkundenbeglaubigung
320315	99014002035001	Beglaubigungen und Beurkundungen	Urkunden	Beglaubigung	Überbeglaubigung | Apostille | Legalisation | Beglaubigung | Urkunden
327403	11046900022900	Gerichtliche Leistungen	Beglaubigung von justiziellen, gerichtlichen und notariellen Urkunden (Apostillen oder Legalisationen) 	Bescheinigung	Apostille | Legalisation | Beglaubigung | Überbeglaubigung | Urkunde | Echtheitsbescheinigung | Auslandsbescheinigung | Notar | Übersetzer | Dolmetscher | Erbschein | Urteil | Beschluss | Vorbeglaubigung | Endbeglaubigung | Vergleich
327459	11903900035000	Beglaubigungen und Beurkundungen	Beglaubigungen und Beurkundungen - Finanzen	Beglaubigung	Apostille | Beurkundung | Beglaubigung | Vorbeglaubigung | Ansässigkeitsbescheinigung | Auskünfte in Steuersachen
121589	11023002001900	Fahrerlaubnis	Fahrerlaubnis	Erteilung	Führerschein mit 17 | Fahrerlaubnis mit 17 | Begleitetes Fahren
326425	99108008252000	Straßenverkehr	abgeschleppte Fahrzeuge	Begutachtung	Gutachten | Begutachtung | Fahrzeugsicherstellung | Gutachtenerstellung | Fahrzeugbesichtigung | überprüfen | beurteilen | einschätzen | ermitteln | inspizieren | kontrollieren | prüfen | untersuchen
324789	11123904022000	Vermessung und Kataster	Begünstigungsbescheinigung (Bescheinigung nach § 1025 BGB)	Bescheinigung	Begünstigungsbescheinigung | Bescheinigung nach § 1025 BGB | Grunddienstbarkeit
326588	99016001000000	Beistandschaft	Beistandschaft durch das Jugendamt		Beistandschaft | Kindesunterhalt | Vaterschaftsfeststellung
324295	99003002022000	Gesundheit	Belehrung nach dem Infektionsschutzgesetz	Bescheinigung	Gesundheitsamt | Gesundheitsbelehrung | Lebensmittelhygiene | Belehrung | Bescheinigung des Gesundheitsamtes | Gesundheitszeugnis | Unterrichtungsnachweis | Schulung | rote karte | gesundheitspass
325421	11003904000000	Gesundheit	Augenärztliche Beratung		Augenärztliche Beratung | Sehbehinderung | verrgrößernde Sehhilfe | Sehtest | sehbehinderte |
121742	99107027001000	Sozialleistungen	Pass für Geringverdiener	Erteilung	berlinpass | sozialpass | sozialticket | ALG | Hartz IV | berlin-pass
325147	11107027020000	Sozialleistungen	Pass für Geringverdiener	Verlängerung	berlinpass | sozialpass | sozialticket | ALG | Hartz IV | berlin-pass
324156	99019006016000	Berufsbildung	Gleichwertigkeit von Zeugnissen von Spätaussiedlern nach BVFG	Anerkennung	Berufsanerkennung | Spätaussiedler | Gleichstellung | Berufsabschlüsse | Gleichwertigkeit
325729	99012042130000	Baurecht	Erhaltungssatzung	Durchsetzung	Erhaltung baulicher Anlagen | Bescheide nach städtebaulichen Rechtsverordnungen | Wohnbevölkerung | Rückbau | städtebauliche Umstrukturierung | Bescheide nach Erhaltungssatzung | Bebauungsplan | Erhaltung der städtebaulichen Eigenart | planungsrechtlichen Bescheid | Genehmigung nach Erhaltungsverordnung | Baugenehmigung | Genehmigung von Rückbau | Änderung | Nutzungsänderung oder Errichtung | baulicher Anlagen in Gebieten gem. Erhaltungsverordnung
324350	99106020000000	Pflegeversicherung	Berechnung der betriebsnotwendigen Investitionsaufwendungen		gesondert berechenbare Investitionsaufwendungen | Investitionsaufwendungen | Pflegeeinrichtungen
326191	11901908000000	Übergeordnete Personenstandsfälle	Bescheinigung über Namensführung bei fehlenden inländischen Personenstandseintrag		Namensbescheinigung; Namensführung
324713	99102037012000	Steuern	Bescheinigung in Steuersachen	Ausstellung	Steuerliche Unbedenklichkeitsbescheinigung; Teilnahme an öffentlichen Ausschreibungen
327643	99079004012001	Lebenspartnerschaft	Bescheinigung zur Begründung einer Lebenspartnerschaft	Ausstellung	Genehmigung zur Eheschließung | Heiratserlaubnis | Heiratsbescheinigung | Ehefähigkeitszeugnis | gleichgeschlechtliche Ehe
324284	11010903000000	Aufenthaltstitel	Daueraufenthaltsbescheinigung		EU | EG | EWR | Daueraufenthalt | Erwerbsminderung | Grenzgänger | Visum
324705	11123903000000	Vermessung und Kataster	Bescheinigung über die örtliche und wirtschaftliche Einheit		Bescheinigung über die örtliche und wirtschaftliche Einheit | Grundstückseinheit | örtliche Wirtschaftseinheit
324921	11010907000000	Aufenthaltstitel	Bescheinigung des Aufenthaltsrechts		Bescheinigung | Aufenthaltsrecht | unbefristet | Visum | Aufenthaltserlaubnis | Niederlassungserlaubnis | Daueraufenthalt | Aufenthaltsberechtigung | erlöschen | ungültig | Ausland | Aufenthalt | Ausreise
324975	99134041000000	Krankenversicherung	Beschwerden über die gesetzliche Krankenversicherung		Krankenversicherung | Rechtsaufsicht | Beschwerden
326856	11011006001900	Ausländerangelegenheiten	Zustimmung zur Ausländerbeschäftigung	Erteilung	Aufenthaltserlaubnis | Beschäftigung | Blaue Karte | Wechsel | Firma | Arbeitgeber
326525	99108018137005	Straßenverkehr	Straßenschaden	Beseitigung	Straßenschäden | Autobahnen | Schlaglöcher | Schlaglochmelder
326401	99089071000000	Sicherheit und Ordnung	Besichtigung von sichergestellten und beschlagnahmten Gegenständen		anschauen | ansehen | besehen | besuchen | betrachten | durchsehen | einsehen | kontrollieren von sichergestellten Fahrzeugen | Entnahme | Abholung | Verwertung | Fahrzeugbesichtigung | Fahrzeugsicherstellung | Sicherstellung
326077	99101002058005	Sterbefall	Bestattung	Durchführung	Grab | Behördenbestattung | Ordnungsbehördliche Bestattung | Ersatzvornahme | Beisetzung | Beerdigung | Zwangsbestattung
324527	99107010018000	Sozialleistungen	Hilfe in anderen Lebenslagen	Beratung	Bestattung | Beerdigung | Sozialbestattung | Kostenübernahme | Übernahme | Bestattung | BestattungskostenKrematorium | Todesfall | Bestattungspflicht | Trauerfeier | Trauerfall | Sarg | Einäscherung | Urne |
326119	99102053000000	Steuern	verbindliche Auskunft im Besteuerungsverfahren		Verbindliche Auskunft | Auskunft
325733	99018027008000	Berufsberechtigung	Approbation	Bestätigung	Approbationsnachweis | Unbedenklichkeitsbescheinigung | Echtheit | Approbationsbestätigung | Echtheitszertifikat | Echtheitsurkunde
326840	99046006061000	Gerichtliche Leistungen	Betreuer	Bestellung	Betreuungssachen | Betreuungsgericht | Bestellung eines Betreuers | Betreuerbestellung | Betreuerausweis | Amtsbetreuung | gesetzliche Vertretung | Entmündigung
